topic_no	topic_zeta	topic_words	interpretable?_BC	category_BC	interpretable?_JR	category_JR	interpretable?_LV	category_LV	interpretable?_phi4	category_phi4
254	0.0023318404	[warden, cipher, cryptogram, thinking machine, cell, letters, keyword, alphabet, machine, cell 13]	yes	theme	yes	theme	yes	theme	yes	setting
352	0.0023038597	[gryce, sweetwater, butterworth, adams, detective, lucetta, burnam, gillespie, haney, look]	no		no		no		yes	main character
176	0.0022679997	[herrick, carr, marsh, frisco, frith, colonel carr, saxham, endicotte, dr, marsh carr]	no		no		no		yes	main character
88	0.0022568075	[phantom, pinto, culligore, shei, gray phantom, gage, hardwick, bimble, granger, fairspeckle]	no		no		no		no	
179	0.0021929668	[brinn, menendez, camber, abingdon, colonel menendez, knox, mcmurdoch, doctor mcmurdoch, wessex, cray folly]	no		no		no		no	
95	0.0019779187	[verbeck, muggs, black, chief, landers, kowen, sheriff, headquarters, roadster, crook]	yes	main character	yes	main character	no		yes	main character
218	0.0019555342	[duvall, stapleton, hartmann, lefevre, dufrenne, monsieur lefevre, lanahan, seltz, monsieur, snuff box]	no		no		no		no	
165	0.0019476549	[waddington, clancy, bomford, beans, pomfret, sub editor, declared, katz, cowper, wynn]	no		no				no	
286	0.0018535505	[door, room, open, stairs, bed, lamp, key, light, opened, window]			yes	setting				
219	0.0017640122	[hilliston, tait, larcher, bezel, paynton, jeringham, linton, horriston, captain larcher, bantry]			no					
125	0.0017572745	[garlett, maclean, cheale, dr maclean, bower, kentworthy, thatched, thatched house, arsenic, toogood]			no					
28	0.0017556868	[door, head, light, face, voice, room, feet, turned, open, hand]			no					
323	0.0017292938	[landis, ogden, barclay, mount, patterson, stimson, mclane, japanese, norcross, takasaki]			no					
245	0.00171696	[grison, sorley, peacock, fuller, bakche, inderwick, baldwin, latimer, jotty, belstone]			no					
227	0.0017113638	[branwin, shawe, toat, badoura, madame, mellop, pink shop, shop, sanby, vail]			no					
266	0.0017113638	[ocumpaugh, gwendolen, carew, child, bungalow, homewood, trevitt, dowsett, gwendolen ocumpaugh, shoe]			no					
235	0.0017001715	[muller, commissioner, graumann, thorne, amster, langen, detective, siders, bernauer, police]			yes	main character				
351	0.0017001715	[schuyler, carleton, fessenden, dupuy, schuyler carleton, maddy, benson, coroner, fairbanks, sisters]			no					
183	0.0017001715	[rouletabille, koupriane, matrena, annouchka, gounsovski, trebassof, feodor, monsieur, matrena petrovna, nikolaievitch]			no					
363	0.001641927	[copplestone, greyle, chatfield, marston greyle, scarhaven, gilling, marston, sir cresswell, bassett, petherton]			no					
177	0.0016072086	[hetherwick, matherfield, riversreade, hannaford, baseverie, mapperley, penteney, granett, sellithwaite, madame listorelle]			no					
300	0.0016016125	[granger, spurling, strangeways, keewatin, beorn, eyelids, forbidden river, huskies, river, père]			no					
470	0.0015960163	[jellicoe, bellingham, testator, hurst, disappearance, remains, thorndyke, scarab, evidence, alive]			yes	theme				
353	0.0015668941	[garvington, greeby, lambert, pine, chaldea, silver, lord garvington, gypsy, jarwin, manor]			no					
416	0.0015668941	[maunders, hest, towton, corsoon, dimsdale, diabella, colonel, bedge, spider, colonel towton]			no					
349	0.0015489641	[fu manchu, manchu, fu, smith, dr fu manchu, dr fu, petrie, nayland smith, nayland, karamaneh]			no					
178	0.001543368	[siméon, essarès, ya bon, ya, bon, belval, masseron, old siméon, essarès bey, captain belval]			no					
130	0.0015366303	[hanaud, frobisher, harlowe, upcott, waberski, monsieur hanaud, monsieur, mademoiselle, crenelle, maison crenelle]			no					
371	0.0015310342	[lomas, rogers, lunt, superintendent, fortune, nurse dauntsey, dauntsey, mayor, cranford, sandford]			no					
112	0.0015287511	[clemency, dempsi, doctor, ewing, heloise, superbus, selsbury, uncle, trenter, dog]			no					
272	0.0015198419	[lyon, broughton, fullerton, wolcott, howell, bede, cane, vanderburg, hemlock avenue, prout]			no					
276	0.0015086496	[pollard, gleason, prescott, belknap, zizi, davenport, manning pollard, manning, doctor davenport, wise]			no					
241	0.0015086496	[devlin, skippy, lemon, frost, dowsett, kid, hah, conne, ain, yeah]			no					
571	0.0015030534	[print, thumb, prints, thumb print, finger, finger print, hornby, thorndyke, prisoner thumb, finger prints]			yes	theme				
277	0.0015030534	[birchill, holymead, rolfe, crewe, fewbanks, riversbrook, sir fewbanks, hill, chippenfield, inspector chippenfield]			no					
42	0.0015005473	[bristo, fancy, shiner, gilder, father, colonel bristo, dickory, dicky, edmonstone, wetheral]			no					
258	0.0014739312	[glanedale, sir lyster, alf pond, lyster, doulton, inspector, tims, alf, burns, pond]			no					
299	0.0014739312	[barthorpe, herapath, tertius, burchill, selwood, halfpenny, barthorpe herapath, wynne, triffitt, raythwaite]			no					
215	0.0014560012	[mccarty, orbit, goddard, hughes, inspector, parsons, fu moy, moy, mall, fu]			no					
280	0.0014156867	[byrd, orcutt, hickory, mansell, ferris, clemmens, hildreth, dare, district attorney, attorney]			no					
162	0.001408949	[westerham, melun, lord penshurst, penshurst, dunton, captain melun, premier, rookley, prime minister, mme]			no					
288	0.0013954736	[wireless, wires, wire, radio, current, apparatus, kennedy, telephone, message, receiver]			yes	theme				
312	0.0013809683	[fan, tung, ainsleigh, hwei, forge, tidman, keong, lo keong, wharf, burgh]			no					
354	0.0013753721	[gubb, philo gubb, philo, deteckative, getz, medderbrook, detective gubb, detective, syrilla, gribble]			no					
330	0.0013719475	[father, mother, prather, money, died, madame collier, child, collier, years, wife]								
340	0.0013630383	[delaney, stockbridge, nichols, morphy, chief, operative, fosdick, gramercy hill, harrigan, gramercy]								
194	0.0013215822	[huxham, durgo, vand, lister, coppersley, tunks, pence, captain huxham, inglis, ankers]								
306	0.0013115315	[lucian, vrain, ferruci, denzil, wrent, berwin, link, jorce, jersey street, clyne]								
530	0.0013115315	[underwood, selby, dr underwood, bussey, hadley, dr, watson, high ridge, ralston, dr pye]								
425	0.0013103899	[slade, beecher, mckenna, kildair, gunther, trendon, majendie, barnett, appleyard, ring]								
231	0.0013013692	[askew, kaimes, berring, jimsy, canvey, pentland, husband, duke, osterhaut jowett, talk]								
408	0.0012991976	[wolfenden, sabin, harcutt, deringham, blatherwick, lord wolfenden, ashbridge, densham, helène, watson]								
220	0.0012991976	[loveman, grayson, cordova, gilmore, mordona, little lawyer, gardner, plan, uncle, grantham]								
268	0.001295773	[letter, letters, written, envelope, handwriting, paper, grizel, read, writing, write]								
388	0.0012824092	[merriman, hilliard, coburn, syndicate, props, _girondin_, ferriby, smuggling, bordeaux, beamish]								
261	0.0012644792	[tropenell, pavely, godfrey, katty, godfrey pavely, st amant, amant, gillie, lord st amant, lord st]								
409	0.001253287	[mainwaring, hobson, lagrange, attorney, fair oaks, thornton, sutherland, oaks, merrick, carleton]								
531	0.0012476908	[gillett, crewe, marsland, westaway, lumsden, sergeant westaway, detective gillett, sergeant, staveley, farm]								
436	0.0012476908	[cunningham, hull, olson, uncle, cattleman, paradox, fire escape, dry valley, harriman, yore]								
291	0.001235357	[prelice, shepworth, jadby, chent, agstone, rover, captain jadby, blexey, lord prelice, martaban]								
443	0.0012241647	[hunterleys, draconmeyer, selingman, drexley, grex, douaille, coulois, roche, declared, hunterleys remarked]								
403	0.0012241647	[mazeroux, sauverand, fauville, weber, prefect, perenna, desmalions, monsieur préfet, préfet, levasseur]								
550	0.0012241647	[sutherland, sweetwater, webb, dr talbot, amabel, sutherlandtown, talbot, zabel, philemon, knapp]								
453	0.0012185686	[marlowe, manderson, cupples, bunner, murch, southampton, white gables, gables, car, saw manderson]								
466	0.0012129724	[carrados, carlyle, parkinson, creake, hollyer, manager, draycott, hutchins, wynn, exclaimed carlyle]								
281	0.0012006386	[morley, giles, denham, ware, steel, parry, rickwell, asher, karacsay, benker]								
131	0.0011926478	[london, street, streets, road, houses, city, carriage, passed, world, windows]								
284	0.0011894463	[rand, rivers, fleming, goode, dunmore, collection, varcek, gresham, pistols, mckenna]								
514	0.0011827086	[barker, claudius, mally, whitehall, westcott, screw, office, ford, leverage, silvaris]								
429	0.0011771125	[murchison, pomfret, blankfield, rosemount, captain murchison, davidson, brother, quite, friend, course]								
313	0.0011603241	[collingwood, pratt, mallathorpe, eldrick, nesta, barford, byner, parrawhite, normandale, bartle]								
432	0.0011547279	[cheyne, dangle, speedwell, french, blessington, price, sime, earlswood, flask, lodge]								
568	0.0011491318	[burnett, simpson, gorman, cheatham, louisville, fitchet, burnett burnett, fauntleroy, dulaney, linden]								
548	0.0011491318	[wenner, merival, coroner, soul, leese, life, _times_, wenner wenner, la menken, menken]								
382	0.0011367979	[bassett, livingstone, norada, donaldson, ranch, carlysle, wasson, melis, jud, vyner]								
559	0.0011312018	[weatherley, chetwode, fane, hastings, calvert, mandeville, sloane, reporter, weatherley continued, business]								
488	0.0011312018	[quest, professor, macdougal, french, quest declared, rheinholdt, quest remarked, remarked, professor quest, inspector]								
534	0.0011300603	[train, station, car, engine, ticket, callahan, passenger, conductor, passengers, fireman]								
343	0.0011256057	[stangerson, rouletabille, darzac, larsan, mademoiselle stangerson, monsieur darzac, monsieur, monsieur stangerson, mademoiselle, yellow room]								
385	0.0011256057	[rawlins, pauling, submarine, henderson, boys, sub, radio, smernoff, diver, declared rawlins]								
111	0.0011210395	[hollister, penfield, mclane, armstrong, hull, coroner penfield, tristram, coroner, boucicault, compton]								
495	0.0011200095	[flexen, loudwater, manley, lord loudwater, hutchings, colonel grey, roper, carrington, twitcher, lord]								
232	0.0011076757	[spargo, breton, marbury, aylmore, elphick, rathbury, cardlestone, myerst, maitland, _watchman_]								
285	0.0010964834	[custer, pennington, crumb, ganado, custer pennington, penningtons, colonel, apache, jackknife, cañon]								
521	0.0010964834	[storm, horton, holworthy, greenlea, burrell, bag, storm laughed, homachi, mallett, trip]								
570	0.0010908873	[mummy, braddock, hervey, professor, bolton, random, vasa, peruvian, manuscript, emeralds]								
573	0.001061765	[landis, arrow, bow, stimson, mount, cross bow, gallery, japanese, library, shoot]								
120	0.0010583404	[tchigorsky, ravenspur, mcvay, thurston, holland, lassa, geoff, savine, jessop, dacre]								
348	0.0010482896	[swingley, texan, hoog, ballaston, endacott, milt, average jones, livius, jones, caldwell]								
22	0.0010454488	[hair, face, beard, eyes, black, wore, nose, brown, figure, moustache]								
469	0.0010326427	[cotherstone, mallalieu, brereton, kitely, harborough, stoner, highmarket, pett, bent, norcaster]								
481	0.0010270466	[hanaud, calladine, carew, semiramis, wethermill, favart, hanaud looked, semiramis hotel, opera, clements]								
544	0.0010270466	[maraton, foley, selingman, graveling, labour, henneford, sheffield, maraton admitted, maraton shook, parliament]								
333	0.0010091166	[tavernake, pritchard, professor, dowling, declared, gardner, wenham, sister, wenham gardner, grier]								
229	0.0010091166	[ferdy, jerce, horran, osip, zara, barras, clarke, ackworth, dumps, baird]								
289	0.0010035205	[lish, jip, amateur, jip collins, fernald, department, fireman, fellers, master roberts, collins]								
303	0.0010035205	[nash, trenholm, roberts, abbott, corbin, doctor roberts, sheriff, doctor nash, abbott lodge, sheriff trenholm]								
394	0.0009979243	[gebb, gilmar, ferris, alder, kirkstone, parge, prain, wedderburn, basson, grangebury]								
491	0.0009979243	[ducie, platzoff, captain ducie, cleon, repos, bon repos, bon, captain, mulatto, loal]								
200	0.0009788528	[binhart, harding, copeland, second deputy, boat, surf boat, steamer, commissioner, kong, deputy]								
259	0.0009777113	[colonel, pinto, stafford, lollie, crewe, boundary, judgment, colonel boundary, hanson, selby]								
510	0.0009688021	[keane, esmond, estrange, cousin, southleigh, elsinore gardens, elsinore, murchison, pomfret, blankfield]								
321	0.0009688021	[laverick, bellamy, morrison, streuss, behrling, document, mademoiselle idiale, idiale, declared, pocket book]								
629	0.0009632059	[bones, bellingham, thorndyke, finger, adipocere, ligaments, bone, thigh, skeleton, jellicoe]								
504	0.0009632059	[grimm, rodd, brodie, brinnen, poet, cresswell, letchowiski, ditchwater, declared, captain brinnen]								
636	0.0009576098	[saton, rochester, naudheim, borrowdean, bertrand, beauleys, vandermere, saton smiled, champneyes, declared]								
322	0.0009508721	[secret agent, fuller, okiu, dr morse, agent, warwick, morse, drevenoff, karkowsky, secret]								
228	0.0009497306	[sabatini, weatherley, starling, fenella, chetwode, lalonde, count sabatini, declared, sanson, sabatini smiled]								
507	0.0009396798	[gascoyne, lord gascoyne, sibella, grahame, hammerton, gascoynes, gascoyne family, hallward, hibbert wyllie, grent]								
456	0.0009396798	[véronique, françois, stéphane, vorski, honorine, hergemont, maguennoc, sarek, véronique hergemont, priory]								
126	0.0009373968	[bunting, sleuth, chandler, lodger, avenger, bunting looked, bunting felt, stepmother, old aunt, bunting bunting]								
646	0.0009340837	[burns, ellison, witham, colonel witham, mill, colonel, granny thornton, triffitt, thornton, stream]								
624	0.0009284876	[morrice, rosabelle, croxton, brookes, sellars, buckley, lettice, financier, deanery, deanery street]								
356	0.0009105576	[silwood, eversleigh, bennet, thornton, williamson, westgate, silwood dead, ivydene, higginson, father]								
582	0.0009105576	[keeban, scofield, fanneal, crewe, win scofield, old win, worth, kite, win, winton]								
378	0.0009105576	[duvall, baker, ford, apartment, stapleton, hotel, woman, photograph, fire escape, detective]								
423	0.0009049614	[julien, kendricks, freudenberg, herr freudenberg, herr, sir julien, christophor, madame christophor, mademoiselle, carraby]								
390	0.0009049614	[ransford, mitchington, braden, brake, wrychester, collishaw, harker, glassdale, bewery, dr ransford]								
419	0.0008993653	[fischer, lutchester, teyl, nikasti, schwerin, hastings, japan, germany, pocketbook, anglo french]								
535	0.0008993653	[hastings, sloane, webster, brace, crown, sloanehurst, sheriff, judge, berne, berne webster]								
326	0.0008926276	[monella, peterssen, dr peterssen, seaton, braham, templemore, paget, carenna, madame lambert, matava]								
418	0.000870243	[poubalov, litizki, strobel, hilman, spy, tailor, billings, palovna, vargovitch, pembroke]								
467	0.000870243	[mar, woodward, naturalist, mar men, dodge, lieutenant woodward, submarine, shore, car, boat]								
297	0.000870243	[de medici, medici, ballau, dr lytton, lytton, norton, de, julien, theater, dr]								
402	0.0008411208	[fentolin, hamel, dunster, meekins, sarson, doctor sarson, kinsley, nikasti, teyl, fentolin continued]								
497	0.0008411208	[pollard, barrows, colwell, harrington, mill, barrows death, brother, mother, idiot boy, reparation]								
362	0.0008355246	[lovel, herne, chaskin, mexton, catinka, drek, jimboy, drass, barnstead, gran jimboy]								
643	0.0008299285	[barclay, tilghman, ito, patterson, mclane, ogden, norcross, shively, japanese, atlanta]								
302	0.0008175947	[beresford, fleming, bat, detective, doctor, neily, gorder, alcove, blue print, courtleigh fleming]								
304	0.0008175947	[hawk, macvightie, butcher, lanson, wire devils, ladybird, car, selkirk, conmore, express car]								
274	0.0008153116	[gedge, uncle si, gedge antiques, antiques, si, roon, picture, hobbema, uncle, duponnet]								
387	0.0008153116	[crooks, knebworth, slant face, wingfield, hughie, slant, jacky, gulden, gardner, ain]								
462	0.0008119985	[hale, richards, ferguson, latimer, tuesday night, bonds, tuesday, mclane, detective ferguson, brother]								
384	0.0008064024	[crabingway, liston, bagg, girls, barrowfield, prior, sigglesthorne, chillington, chequertrees, inchmoor]								
600	0.0008064024	[aynesworth, wingrave, barrington, sir wingrave, sir wingrave seton, wingrave seton, lovell, seton, aynesworth declared, remarked]								
613	0.0008064024	[magee, baldpate, bland, baldpate inn, peters, cargan, professor, mayor, norton, hermit]								
471	0.0008008062	[macartney, thompson, collins, charliet, caraquet, hutton, wilbraham, valenka, stope, dream girl]								
417	0.0008008062	[garrick, warrington, mcbirney, car, winslow, garage, gambling, dr mead, forbes, gambling joint]								
525	0.0008008062	[pratt, raston, haverleigh, tempest, kilspindie, hale, marton, lord kilspindie, jeal, cup]								
630	0.0007828763	[crippen, corson, binney, buns, prall, bates, vail, bun, sir binney, gibbs]								
482	0.000771684	[boller, wilkins, fry, hitchin, hobart hitchin, prentiss, hobart, vining, kid, trunk]								
627	0.0007660878	[braceway, bristow, withers, morley, fulton, greenleaf, furmville, abrahamson, washington, atlanta]								
108	0.0007615217	[webb, pip, kimball, whiting, gerty, coe, fenn, powell, kimball webb, hanley]								
545	0.0007593502	[cuba, cuban, quesada, manada, hathaway, spanish, truenos, quinta, havana, rozinante]								
401	0.0007425617	[cayley, gillingham, pond, passage, ablett, key, key outside, door, cayley cayley, inspector]								
635	0.0007369656	[manton, kennedy, phelps, mackay, manton pictures, film, studio, kauf, tarrytown, pictures]								
455	0.0007302279	[winthrop, carew, senator carew, thornton, senator, colonel thornton, truxton, secretary, colonel, letter file]								
642	0.0007246318	[ostrander, judge ostrander, reuther, judge, scoville, fentiman, etheridge, father, ferrier, black]								
441	0.0007190356	[stonor, imbrie, etzooah, breed woman, dug, river, gun, myengeen, rapids, breed]								
374	0.0007134395	[wyke, lemby, craver, vence, neddy, hedgerton, mellin, purse, sandal, maranatha]								
588	0.0007134395	[underwood, walcott, britton, ophir, pines, camp, partner, furley, business, office]								
511	0.0007134395	[gifford, henshaw, kelson, morriston, wynford, tredworth, gervase henshaw, wynford place, dipper, morristons]								
628	0.0007022472	[pinkerton, proctor, donahue, robbery, susquehanna, reno, northampton, dunlap, gang, evans]								
500	0.0007022472	[cecala, morello, lupo, cina, giglio, calichio, boscarini, ortonello, counterfeit, comito]								
377	0.0006899134	[murgatroyd, challoner, thorne, prosecutor, pemmican, mixley, hargraves, mcgrath, cradlebaugh, bloodgood]								
449	0.0006843172	[deede, deede dawson, dawson, dunn, dunsmore, clive, bittermeads, packing case, wreste, packing]								
623	0.0006843172	[hora, marven, commandatore, captain marven, meriel, lynton hora, lynton, flurscheim, challys, name marven]								
248	0.0006843172	[durgan, claxton, beardsley, dolphus, hilyard, hermie, mulatto, durgan felt, hermione, deer]								
606	0.0006787211	[rebb, haskins, crosbie, geary, pixy house, pixy, berch, bellaria, durham, pelham odin]								
556	0.0006663873	[vinsen, dr vinsen, inspector robson, robson, keziah, inspector, piers, dr, nat, olwen]								
191	0.0006484573	[dawson, sheep, heth, baxter, vb, ramsey, supervisor, cañon, dugan, trail]								
565	0.0006440027	[celie, dauvray, mme dauvray, vauquier, mlle celie, mme, wethermill, mlle, hanaud, commissaire]								
370	0.0006237896	[snake, snakes, tharban, reptile, venom, ye, serpent, demetrios, cobra, basto]								
558	0.0006204766	[heger, mountain girl, mountain, abbott, sawyer, cabin, girl, mountain road, redfords, packard]								
458	0.0006204766	[rodgers, parsons, baird, craige, potter, penfield, aunt, sah, mclean, inspector]								
589	0.0006148804	[tallente, dartrey, miller, horlock, palliser, greening, hellesfield, party, article, prime]								
71	0.0006123742	[dunham, girl, going, dear, judge, won, eyes, isn, want, didn]								
618	0.0006092843	[old detective, lung, chinese, garshaski, leggett, chinamen, ah lung, detective, old, bradys]								
648	0.0006025466	[sedgwick, schlager, dennett, macfarlane, sheriff, trenter, sailor smith, richardson, iry, gansett]								
431	0.0006025466	[embury, hendricks, alvord, fifi, ames, fibsy, aunt, stone, driscoll, desternay]								
381	0.0005969505	[bobo, cleaver, evers, poor bobo, madagascar, robinson, culbreth, delamare, stetson, gyde]								
598	0.0005857582	[warrender, marlow, lestrange, beauchamp, thorold, sophy, phelps, rector, cicero, quiet gentleman]								
616	0.0005857582	[kenelm, hermione, eyrle, lorriston, severn, aldenmere, kenelm eyrle, lord lorriston, leeholme, sir]								
637	0.0005846166	[larauche, ut, ee away, strangways, ee, macartney, sez, mcginity, ant ee, away away]								
591	0.0005745659	[torry, grent, vass, leighbourne, hargone, wray house, detective, notes, mortality, killed grent]								
358	0.0005666867	[adèle, frink, grimshaw, lumbard, ogden, stanwood, farrandale, knebworth, drummond, car]								
475	0.0005510398	[langholm, minchin, steel, venables, severino, woodgate, crofts, morna, novelist, normanthorpe]								
634	0.0005510398	[ruff, dory, fitzgerald, ruff nodded, brown, clenarvon, sillerton, remarked, count hern, hern]								
463	0.0005510398	[dampier, senator, poulain, madame poulain, poulains, saint ange, hôtel saint, hôtel saint ange, ange, madame]								
459	0.0005498982	[cat, dog, collie, smoke, dr silence, flame, paws, animals, silence, carpet]								
579	0.0005387059	[saxe, music, abernethey, masters, osmund, miser, manuscript, thatcher, piano, measure]								
438	0.0005387059	[hickey, socotra, de socotra, flivver, tripp, cab, estuban, de, stickney arms, stickney]								
546	0.0005219175	[murphy, swamp, qualley, roberts, bateau, logs, raft, murphy exclaimed, darky, turpentine]								
110	0.0004770368	[ebbo, herrick, ermentrude, eberhard, ingham, euyck, friedel, adlerstein, allister, mother]								
305	0.0004625315	[godfrey, delahaye, archduchess, feurgéres, greatson, mabane, monsieur feurgéres, waldenburg, child, grooten]								
603	0.0004524807	[broadbrim, old broadbrim, riggs, demona, stareyes, ranch, macray, perth, detective, waters]								
320	0.0004501976	[charter, linster, reifferscheid, ensign, glance, stuyvesant, cross, japha, child, aunt]								
552	0.0004166208	[stubbs, shears, lupin, danbury, holmlock, benker, arsène lupin, arsène, holmlock shears, destange]								
199	0.0003964077	[wheeler, bassett, sayre, reynolds, wallie, livingstone, bed, doctor reynolds, miller, norada]								
252	0.0003930947	[cartwright, lister, shillito, huxham, duveen, hyslop, montgomery, pence, durgo, mortimer]								
204	0.000386357	[pluma, hurlhurst, tab, stanwick, pluma hurlhurst, septima, whitestone hall, whitestone, lyon, heiress]								
66	0.0003793962	[merton, colwood, marsham, london, ferrier, tallyn, beechcote, fotheringham, sir, house]								
641	0.0003415878	[dimsdale, ball, siebold, team, cadets, woodcrest, gates, school, vench, goodhue]								
584	0.0003068694	[trafford, matthewson, mcmanus, solomonson, dowd, millbank, wing, papers, rubber, murder]								
296	0.0002866564	[holdfast, sudlow, winslade, thérèse, hosmer, tuyn, cronin, braybrooke, vicar, mother]								
519	0.0001130644	[pasmer, woman, wife, marriage, swinnerton, ramoo, mandeville, women, sandys, thode]								
644	0.0001030137	[mexican, josé, gonzalez, mustang, sambo, carib, senor, red head, spitler, ditini]								
439	9.51344356478773e-05	[money, ayoub, monson, kirkstone, cater, lewisham, tsamanni, woodhouse, thrift, debt]								
338	3.80314640534097e-05	[rowlandson, rags, curlew nest, valentines, bungalow, curlew, pembroke, burbage, bunsey, farquharson]								
379	1.33638132389475e-05	[pigeon, bird, 8vo, pigeons, birds, pigeon pie, crown 8vo, demy 8vo, demy, nant]								
532	8.90920882596496e-06	[millions, ryder, stock, railroad, market, rates, hearst, money, prices, business]								
