topic_no	topic_zeta	topic_words	interpretable?_BC	category_BC	interpretable?_JR	category_JR	interpretable?_LV	category_LV	interpretable?_phi4	category_phi4
270	0.0013708101	[garratt, lakeman, hunstan, carringford, farley, towsey, mother, farm, darsie, chidhurst]								
199	0.0013682087	[wheeler, bassett, sayre, reynolds, wallie, livingstone, bed, doctor reynolds, miller, norada]								
234	0.0013669835	[_cumbria_, texas, funnel paint, worth, launch, funnel, winch, canarios, oil, deck]								
185	0.0013593303	[trevlyn, pendrill, fitzgerald, haddon, husband, lord trevlyn, sir fitzgerald, lord haddon, heart, happy]								
393	0.0013593303	[woodruff, school, bonner, county, district, colonel woodruff, colonel, bronson, county superintendent, rural]								
271	0.0013579541	[dog, wint, muldoon, puppy, dogs, raut, hound, pup, tail, sabron]								
399	0.0013184629	[darrow, sophy, viner, sophy viner, leath, givre, madame de, step mother, farlows, step]								
236	0.0013120349	[hyde, rem, arenta, joris, ariens, moran, heemskirk, jacobus, mother, macintosh]								
265	0.0012929019	[arkwright, greggory, aunt, calderwell, operetta, hartwell, henshaw, neilson, music, dear]								
344	0.0012929019	[phyl, pinckney, pinnegar, hennessey, grangerson, vernons, ciccio, charleston, kilgobbin, woodhouse]								
269	0.0012929019	[nixon, derwent, nixie, salter, pogram, captain salter, returned, girl, waitress, madama]								
139	0.0012927511	[cards, game, hough, gambler, gambling, durade, glenister, bet, neale, card]								
335	0.0012903006	[franks, aylmer, _argonaut_, manuscript, story, franka, girl, write, read, keys]								
472	0.0012890753	[smith evered, evered, bindane, lord, barthampton, benifett, lord barthampton, smith, el hamrân, hamrân]								
576	0.0012890753	[brouillard, cortwright, railroad, niquoia, mirapolis, dam, massingale, plegg, reclamation service, government]								
647	0.0012852487	[fanshawe, gifford, erskine, sparling, rhodes, holidays, grumble, farnborough, week, staff room]								
249	0.0012711676	[devine, saxton, allonby, trifle, dollars, dayspring, ranch, drily, canopus, quite]								
50	0.0012607622	[kallikrates, egypt, pharaoh, noot, tenes, gods, goddess, ochus, amenartas, sidon]								
515	0.0012596878	[lubimoff, novoa, spadoni, casino, castro, duchess, villa, monaco, toledo, colonel]								
415	0.0012558612	[archer, olenska, madame olenska, luyden, der luyden, der, newland, beaufort, mingott, countess olenska]								
364	0.0012379534	[arabella, christminster, alfredston, marygreen, wolverstone, levasseur, captain blood, blood, phillotson, cartlett]								
31	0.0012232688	[church, religion, god, priest, christ, monsignor, people, holy, lord, bishop]								
380	0.001222647	[dodo, hughie, berts, mama, ayr, darling, waldenech, dear, double bass, chesterford]								
-1	0.0012134484	[little, time, came, eyes, old, face, room, hand, day, away]								
338	0.0012123924	[rowlandson, rags, curlew nest, valentines, bungalow, curlew, pembroke, burbage, bunsey, farquharson]								
247	0.0012123924	[durrance, feversham, ethne, sutch, adair, willoughby, captain willoughby, lieutenant sutch, trench, halfa]								
155	0.0012123924	[buell hampton, buell, hampton, warfield, holden, rankin, bragdon, shields, encampment, jones]								
434	0.0012047392	[cortlandt, runnels, panama, locke, alfarez, colonel jolson, jolson, garavel, colon, cortlandts]								
311	0.0012009126	[ricker, ranch, cowboys, macnutt, ricker ranch, halfbreed, tex, trader post, cowboy, ranch owner]								
386	0.0011932594	[gerhardt, bass, brander, senator, mother, child, family, kane, cincinnati, neighbors]								
485	0.0011932594	[jethro, romany, fawe, jethro fawe, fleda, druse, gorgio, ingolby, ry, rys]								
104	0.0011906581	[wint, kite, routt, hetty, gergue, hardiston, caretall, radabaugh, lutcher, congressman]								
474	0.0011868315	[richmond, sidenote, egremont, lukens, fanks, sands, blaney, fotheringay, readin, concerto]								
413	0.0011753517	[frink, ogden, lumbard, grimshaw, adèle, farrandale, grandpa, stanwood, colonel, ally]								
410	0.0011715251	[daney, laird, mckaye, port agnew, agnew, sawdust pile, sawdust, tyee, port, pile]								
404	0.0011676985	[stuyvesant, father mcgowan, mcgowan, pui, de pui, yuh, celie, madden, laing, twombly]								
206	0.0011638719	[eaton, santoine, connery, latron, warden, blatchford, car, conductor, dorne, blind]								
372	0.0011344843	[farringdon, bateson, osierfield, hankey, tremaine, sedgehill, farquhar, willows, smallwood, thornley]								
566	0.0011306577	[hartley, vyner, trimblett, captain, captain trimblett, willett, gustave, chinnery, walters, ste]								
602	0.0011165765	[farm, acres, farmer, land, farming, segerson, crockford, barn, kingston, burtons]								
197	0.0011139752	[verny, furley, travers, winthrop, ritherdon, abbeway, fenn, stenson, waring, town hall]								
244	0.0011127499	[hale, judd, tolliver, bub, lonesome cove, red fox, lonesome, hon, mountaineer, thar]								
412	0.0011089233	[school, radway, harrington, lib, bible, aunt, meadow, church, bible school, superintendent]								
447	0.0010974435	[ramage, miniver, morningside park, capes, morningside, vee, aunt, manning, palsworthy, father]								
160	0.001080761	[pope, magnet, trafford, daffy, plessington, aunt plessington, wintersloan, rom, poole, buryhamstreet]								
292	0.0010781597	[heredith, room, dining, hall, table, dining room, guests, chairs, tea, tables]								
224	0.0010718826	[claudius, barker, duke, dr claudius, screw, countess, skeat, heidelberg, doctor, lindstrand]								
392	0.0010718826	[kane, cincinnati, chicago, brien, married, social, stendahl, business, dodge, gerhardt]								
75	0.0010705065	[corona, san giacinto, giacinto, gouache, saracinesca, montevarchi, san, ilario, sant ilario, sant]								
268	0.0010525987	[letter, letters, written, envelope, handwriting, paper, grizel, read, writing, write]								
264	0.0010501482	[siegmund, sea, thordis, sigurd, siegmund looked, rosamund, siegmund felt, felt, ragnild, siegmund sat]								
318	0.0010463216	[aylmer, keys, sharston, sukey, aylmer court, franks, little mummy, court school, girl, mother]								
406	0.001042495	[ide, withee, pulaski, castonia, macleod, woods, rodburd, rodburd ide, timber, umcolcus]								
506	0.001042495	[pikey, girlie, cass, montagu, jupp, trenchard simpson, trenchard, montagu jupp, minever, clavering park]								
557	0.0010386684	[antrim, langford, judge, hobart, forsyth, harding, seeley, lord carabbas, chief clerk, carabbas]								
187	0.0010284139	[penniman, townsend, sloper, almond, aunt, dr sloper, father, doctor, niece, washington square]								
587	0.0010054542	[ruddington, gibson, lord ruddington, sainte véronique, traxelby, grandpont, letter, lord, sainte, véronique]								
108	0.0009861704	[webb, pip, kimball, whiting, gerty, coe, fenn, powell, kimball webb, hanley]								
225	0.0009837199	[granny, simmons, old simmons, befort, wyman, waloo, riverside, martingale, cabot, cousin]								
395	0.0009798933	[warne, jimps, channing, father davy, davy, father, crofton, boarder, guest, village]								
608	0.0009798933	[nanny, babbie, egyptian, gypsy, dishart, minister, thrums, lassie, th, ay]								
375	0.0009619855	[felsen, herr, ziegler, borsen, bastable, schlegel, strauss, herr bastable, hagar, dormund]								
262	0.0009555576	[sartwell, gibbons, marsten, strike, union, braunt, men, maraton, manager, committee]								
542	0.0009543323	[sidenote, heyton, north, letter, crutches, simcox, daddy, died loving, mother, dead]								
517	0.0009428525	[savine, thurston, musker, high maples, maples, vancouver, ranch, summers, cañon, rock]								
400	0.0009428525	[herrick, vayenne, lemasle, duke, dwarf, montvilliers, father bertrand, count, passey, bertrand]								
527	0.0009402512	[uncle, jervas, aunt, uncle jervas, peregrine, grandmother, exclaimed aunt, nephew, dear aunt, dear]								
599	0.000932598	[captain, powell, trenchard, roberts, masterson, cortlandt, durst speak, marryott, trenholm, fyne]								
217	0.0009172916	[kut, alchise, desert, indian, cartwell, trail, cesca, squaw, squaws, apache]								
279	0.0009172916	[herriard, gastineau, hallamar, quickjohn, countess, campion, geof, dr hallamar, martindale, prosper]								
519	0.0009146902	[pasmer, woman, wife, marriage, swinnerton, ramoo, mandeville, women, sandys, thode]								
204	0.0009108636	[pluma, hurlhurst, tab, stanwick, pluma hurlhurst, septima, whitestone hall, whitestone, lyon, heiress]								
520	0.0008840774	[jimsy, honor, skipper, stepper, lorimer, yaqui, beat high, meter, team, stepfather]								
539	0.0008802508	[alcibiades, justinian, melnos, demarch, melnosians, caliphronas, crispin, tunnel, palisade, gurt]								
424	0.0008802508	[deerfoot, shawanoe, shawanoes, carleton, ish, warrior, dinks, canoe, miami, mississippi]								
111	0.0008762733	[hollister, penfield, mclane, armstrong, hull, coroner penfield, tristram, coroner, boucicault, compton]								
283	0.0008738228	[natachee, indian, edwards, sonora, lizard, mexican, pardners, cañon, outlaw, selby]								
490	0.0008699962	[copeland, binhart, ottenheim, doctor west, westville, chair, boy, figure, brown, _salon_]								
612	0.000862343	[sir hervey, hervey, unwin, pogram, lakeman, chalkhill, winthrop, watkyns, coke, sir]								
513	0.0008585164	[horatio, sybert, currier, hortie, eleazer, borden, vont, pash, jewels, sheriff]								
631	0.0008508632	[beatrix, ritherdon, desolada, zara, carmaux, spranger, madame carmaux, belize, morello, ortonello]								
445	0.0008214757	[reynolds, sconda, curly, big draw, klota, samson, daddy, indian, frontier samson, grizzly]								
480	0.0008214757	[medenham, devar, vanrenen, marigny, fitzroy, simmonds, bristol, chauffeur, count edouard, edouard]								
376	0.0008188743	[_señorita_, caballero, senor, _señora_, senorita, rocha, rojerio rocha, rojerio, señora, señora vallejo]								
605	0.0008138225	[kildare, darrah, buchanan, sevier, rem, darrah brown, election, cake, possum, eyes]								
209	0.0008086198	[blessington, answers, says, sanson, lembken, craven, asks, rateau, lazaroff, kennard]								
420	0.0008073945	[nakier, lugger, barque, tregarthen, hatch, ye, nielsen, nothen, boatmen, ship]								
421	0.0007997413	[welwyn, tilly, dicky, carmyle, stillbottle, mainwaring, enquired, grandma, milroy, pumpherston]								
324	0.0007997413	[forbes, finch, hephzibah, diggs, hephzibah diggs, phemie, doolittle, merceron, marland, letter]								
233	0.0007959147	[tommasino, duke, bena, firmola, venusta, rilano, count, lord, wizard, syndic]								
601	0.0007920881	[walthew, gomez, grahame, cliffe, sarmiento, rio frio, frio, castillo, señor, president]								
405	0.0007920881	[captain macdonnell, macdonnell, ranch, husband, ranch girls, professor, rainbow ranch, vive, rainbow, captain]								
320	0.0007894867	[charter, linster, reifferscheid, ensign, glance, stuyvesant, cross, japha, child, aunt]								
501	0.0007882615	[varrick, gerelda, bain, northrup, frazier, captain frazier, gerelda northrup, varrick mansion, nurse, girl]								
595	0.0007703537	[giles, maman, toppie, ware, sir giles, _place_, felt, giles spoke, andré, cannes]								
452	0.0007627005	[bowen, colville, veglione, wish, girl, going bowen, carnival, amsden, palazzo pinti, pinti]								
610	0.0007627005	[pauly, dr lorry, st, chichester, lorry, lisle, sir algernon, vicar, algernon, seaton]								
524	0.0007600992	[compton, asaph, hetty, th, pilcher, cat tail, dunne, _yakutat_, brinn, egerton]								
512	0.0007600992	[cyn, dish, la fleur, fleur, cook, dinner, potatoes, chicken, nattie, costanza]								
563	0.0007550473	[miralda, barosa, sampayo, donnington, vasco, volheno, _stella_, _rampallo_, dagara, dr barosa]								
615	0.0007512207	[gresham, gamble, loring, collaton, washer, ersten, dollars, slosher, wobbles, terminal]								
547	0.0007486194	[rosevelt, satchell, mistress satchell, sherbrooke, gladstone, prelice, mistress, rover, beauty, brilliana]								
594	0.0007256598	[bowen, tanagra, galvin, galvin house, peel, triggs, bonsor, wangle, lord bowen, meyfield]								
650	0.0007218332	[gardiner, wilde, doctor gardiner, rogers, basket maker, moore, doctor, old basket maker, old basket, girl]								
296	0.0007128039	[holdfast, sudlow, winslade, thérèse, hosmer, tuyn, cronin, braybrooke, vicar, mother]								
554	0.0007000988	[phroso, constantine, vlacho, kortes, demetri, neopalia, stefanopoulos, lord, island, spiro]								
638	0.0007000988	[bowring, johnstone, fan, caiwarn, mother, santon, crosby, maraquito, amalfi, liked]								
526	0.0006962722	[macwilliams, langham, kirkland, burke, mines, clayte, olancho, palms, alvarez, weimer]								
533	0.0006962722	[katrine, dermott, ravenel, mcdermott, dulany, dermott mcdermott, de nemours, nemours, madame de nemours, rensselaer]								
172	0.0006795897	[ball, starbright, merriwell, pip, stott, clockwork, wicket, bat, batsman, goal]								
161	0.0006717856	[heart, woman, life, loved, dance, fanning, knew, girl, felt, mother]								
509	0.0006707112	[tregenna, langney, parson, parson langney, smugglers, tis, brigadier, nay, parsonage, sir]								
87	0.0006705604	[ye, dermod, hooper, inspector, alsop, slim, ewen, woman, beansho, morrison]								
551	0.0006668846	[hatherly, gascoyne, _estremedura_, macallister, las palmas, palmas, africa, las, brown, trifle]								
246	0.0006667338	[sleep, darkness, soames, haendl, bed, asleep, sound, lay, light, muldoon]								
617	0.000663058	[amory, connage, mellicent, yellowsands, vewy, starbright, gillespie, kiss, saville, dawson ryder]								
569	0.0006592314	[rainey, lund, carlsen, tamada, simms, hansen, skipper, _karluk_, hunters, yore]								
592	0.0006489769	[fitzpiers, rosamund, charmond, endicott, winterborne, grammer, melbury, bunyan, curlie, sir godfrey]								
494	0.0006387223	[god, death, immortality, soul, oomphel, spirit, life, world, sorrow, heart]								
523	0.0006374971	[farnsworth, blaney, fairfield, chick, hamilton, reypen, billee, little billee, hartleys, lovely]								
590	0.0006336705	[dainty, lovelace, mammy, nieces, bride, wedding, craye, heart, lover, bernardini]								
358	0.0006310691	[adèle, frink, grimshaw, lumbard, ogden, stanwood, farrandale, knebworth, drummond, car]								
427	0.0006272425	[hirst, vere, ridley, steel, venables, flushing, husband, happiness, hewet, people]								
489	0.0006195893	[tristram, boucicault, wickie, captain salt, fido, gaya, tris, toutou, salt, _l heureuse_]								
580	0.0005966297	[roderic, beven, porto, san, spanish, yankee, captain beven, porfidio, plaza, spanish soldiers]								
169	0.0005926523	[checco, matteo, girolamo, italy, italian, bartolomeo, sybert, filippo, orsi, colville]								
468	0.0005748954	[finnerty, sahib, swinton, moti, tiger, banjara, mahadua, elephant, jungle, bahadar]								
536	0.0005710688	[nattie, quimby, cyn, clem, kling, magee, stanwood, wire, simonson, archer]								
464	0.0005672422	[brilliana, halfman, evander, blaise, sir blaise, harby, master hungerford, hungerford, master, puritan]								
252	0.0005569876	[cartwright, lister, shillito, huxham, duveen, hyslop, montgomery, pence, durgo, mortimer]								
112	0.0005517849	[clemency, dempsi, doctor, ewing, heloise, superbus, selsbury, uncle, trenter, dog]								
640	0.0005122936	[winn, hutton, rockhaven, violin, ye, alhambra, island, norbith, winn hardy, stage]								
387	0.0004994377	[crooks, knebworth, slant face, wingfield, hughie, slant, jacky, gulden, gardner, ain]								
200	0.0004841313	[binhart, harding, copeland, second deputy, boat, surf boat, steamer, commissioner, kong, deputy]								
585	0.0004535185	[leighton, brux, cellette, lne, derl, lew, gosling, nelton, tuck, boy leighton]								
263	0.0004509171	[cynthy, humphreys, maurus, naniescu, cluj, hódmezö, mother, wehle, dutchman, ujlak]								
444	0.0004496919	[drury, master drury, hayslope, dame coppins, coppins, captain stanhope, stanhope, mistress, grange, cavalier]								
639	0.0004458653	[maguire, stirling, catlin, costell, convention, delegates, chairman, vote, blunkers, caggs]								
305	0.0004394373	[godfrey, delahaye, archduchess, feurgéres, greatson, mabane, monsieur feurgéres, waldenburg, child, grooten]								
439	0.0004330094	[money, ayoub, monson, kirkstone, cater, lewisham, tsamanni, woodhouse, thrift, debt]								
528	0.0004317841	[pertinax, thou, sir pertinax, thy, thee, rogue, fool, white lush, ye, sing]								
461	0.0004203043	[theobald, barold, burmistone, slowbridge, bassett, eulogia, ladyship, poppleton, burnham, grandmamma]								
552	0.00039857	[stubbs, shears, lupin, danbury, holmlock, benker, arsène lupin, arsène, holmlock shears, destange]								
503	0.0003947434	[mouraki, pasha, phroso, demetri, kortes, apafi, constantine, wheatley, neopalia, pavel]								
120	0.0003639797	[tchigorsky, ravenspur, mcvay, thurston, holland, lassa, geoff, savine, jessop, dacre]								
611	0.0003577026	[frobisher, orchid, cardinal moth, moth, orchids, wedderburn, rootlets, lefroy, hafid, cardinal]								
532	0.0003551013	[millions, ryder, stock, railroad, market, rates, hearst, money, prices, business]								
398	0.0003321416	[khan, kasam, dirrag, mekran, burah, agahr, vizier, burah khan, maie, persian]								
407	0.0003154591	[socialism, government, voters, war, socialists, revolution, powart, american, state, people]								
522	0.0002963261	[washington, vote, pauncefote, sir otho, otho, wandel, government, cent, verner, lord]								
171	0.0002745918	[cattle, herd, range, ranch, trail, beaver, beeves, herds, foreman, sargent]								
54	0.0002703126	[sir, old, gentleman, room, door, didn, butler, little, want, quite]								
