topic_no	topic_zeta	topic_words	interpretable?_BC	category_BC	interpretable?_JR	category_JR	interpretable?_LV	category_LV	interpretable?_phi4	category_phi4
564	0.0023808776	[miko, snap, molo, grantline, haljan, moa, venza, wandl, coniston, hahn]	no		no		no		no	
407	0.0023508536	[socialism, government, voters, war, socialists, revolution, powart, american, state, people]	no		yes	theme	yes	theme	no	
278	0.0023339161	[kendric, rios, barlow, escobar, ruiz, ruiz rios, ortega, castelmar, señor, twisty]	no		yes	theme	no		no	
560	0.0023219065	[slept, tablets, eat tablets, diskos, gorge, eat, sleep, hours, slumber, wound thy]	no		yes	style	yes	theme	no	
621	0.0022929593	[cavor, selenites, selenite, sphere, cavern, fungus, goad, mooncalves, scrub, zz]	no		yes	setting	yes	setting	yes	setting
492	0.0022694785	[ala, ingra, juba, car, air ship, caverns, earth, cloud dome, air, dome]	yes	setting	yes	setting			yes	setting
368	0.0022459977	[naya, mo, samory, kouaga, goliba, kona, zomara, thou, thy, liola]							na	
275	0.0022225169	[maskull, krag, nightspore, corpang, haunte, oceaxe, sullenbode, joiwind, tydomin, panawe]							na	
479	0.0021580793	[vall, verkan, tortha, karf, verkan vall, tortha karf, dalla, paratime, sector, salgath]							na	
604	0.0021345985	[ivanta, agrando, fumenta, alondra, malto, _ivenia_, airships, kazzaro, malandris, armeath]							na	
562	0.0020876369	[meleager, arch priest, hierarchy, hiridia, arch, meleagrian, council, councillors, priest, members]							na	
478	0.0019762378	[tanar, stellara, korsar, korsars, sarian, fedol, cid, amiocap, gura, bohar]							na	
477	0.0018648386	[tanith, harkaman, gram, trask, dunnan, makann, valkanhayn, marduk, bentrik, ships]							na	
182	0.0018468242	[gray, wusun, wu, delabar, wu fang, fang chien, wu fang chien, fang, chien, gela]							na	
553	0.0018413578	[coryon, monella, templemore, mellenda, dakla, zonella, sanaima, ulama, ergalon, hath]							na	
633	0.0018413578	[pyramid, redoubt, night land, youths, mighty pyramid, spy glass, earth current, monsters, mighty, monstruwacan]							na	
309	0.0017709154	[nadara, thandar, flatfoot, thurg, korth, nagoola, cave, smith jones, ledge, burlinghame]							na	
131	0.0017567522	[london, street, streets, road, houses, city, carriage, passed, world, windows]							na	
240	0.0017108674	[sword, blow, feet, lantern, siebold, altho, grip, lay, hanlon, stood]							na	
502	0.0016829971	[wells, socialism, human, constructive, ideas, personal, _the, individual, samurai, human nature]							na	
625	0.0016595163	[challis, lewes, challis lewes, wonder, crashaw, child, stott, returned challis, child lewes, library]							na	
555	0.0016360355	[yolara, rador, lakla, lugur, keefe, dwarf, shining, handmaiden, green dwarf, priestess]							na	
596	0.0016185595	[scriven, apperception, oona, cells, cortex, apperception center, semper, glideways, cephalon, gland]							na	
433	0.0015715979	[tarrano, georg, wolfgar, brende, argo, jac, central state, barrage, cold country, earth]							na	
561	0.0015246363	[conn, federation, poictesme, shanlee, fawzi, pomponio, computer, zareff, storisende, litchfield]							na	
397	0.0015011555	[nixon, tork, mercutians, mercutian, wat, loto, gorts, orites, grim, earthmen]							na	
383	0.0014951507	[droop, copernicus, ye, copernicus droop, ef, jest, hev, pole, thet, panchronicon]							na	
574	0.0014836795	[robot, 2615, pwowp, robots, humans, vilbis, freighter, metal fingers, metal, ship]							na	
389	0.0014836795	[jak, carver, pop, mom, boys, ship, control room, controls, mother, fuel]							na	
549	0.0014776747	[hogarth, loveday, frankl, hara, colmoor, warder, quilter beckett, westring, quilter, beech]							na	
508	0.0014367179	[haarland, marconi, jones, cavallo, planet, ship, halsey planet, joneses, longliner, halsey]							na	
577	0.0014072323	[lavendar, pippin, dr lavendar, heywood, dr, zac, longfields, nadeshda, boy, dr gladwin]							na	
581	0.0013897564	[sajipona, raoul, narva, leighton, cave, bogota, herran, quayle, palace, shei]							na	
3	0.0013573697	[author, story, 50, 8vo, york, book, illustrations, illustrated, ii, iii]							na	
505	0.0012428668	[hapley, pawkins, moth, insect, pawkins pawkins, strange moth, butterfly, microscope, vicar, table cloth]							na	
336	0.0011424004	[sword, blade, weapon, tipton, thrust, boucicault, amesa, issus, fought, attack]							na	
529	0.0010965156	[miela, anina, mercer, tao, baar, lua, city, lone city, light country, water city]							na	
326	0.0010375445	[monella, peterssen, dr peterssen, seaton, braham, templemore, paget, carenna, madame lambert, matava]							na	
496	0.0009141357	[rope, haverly, end rope, chenobi, edge, ledge, end, weight, feet, bludsoe]							na	
540	0.0008207509	[semaphore, wilcox, dumaresq, medical, medical woman, garde, sister, beaconsfield gardens, beaconsfield, müller]							na	
52	0.0007700205	[regiment, enemy, bracy, men, soldiers, guns, gedge, troops, rifles, officers]							na	
611	0.0007328326	[frobisher, orchid, cardinal moth, moth, orchids, wedderburn, rootlets, lefroy, hafid, cardinal]							na	
446	0.0006793278	[fish, levels, florent, meal, dishes, dish, gavard, ham, faunce, turkey]							na	
172	0.0006793278	[ball, starbright, merriwell, pip, stott, clockwork, wicket, bat, batsman, goal]							na	
101	0.0005914094	[nehushta, benoni, essenes, jews, domitian, romans, gallus, ithiel, saturius, jerusalem]							na	
228	0.0005504526	[sabatini, weatherley, starling, fenella, chetwode, lalonde, count sabatini, declared, sanson, sabatini smiled]							na	
50	0.0004374382	[kallikrates, egypt, pharaoh, noot, tenes, gods, goddess, ochus, amenartas, sidon]							na	
28	0.0004320542	[door, head, light, face, voice, room, feet, turned, open, hand]							na	
459	0.0004275823	[cat, dog, collie, smoke, dr silence, flame, paws, animals, silence, carpet]							na	
209	0.0004035631	[blessington, answers, says, sanson, lembken, craven, asks, rateau, lazaroff, kennard]							na	
532	0.0003746159	[millions, ryder, stock, railroad, market, rates, hearst, money, prices, business]							na	
262	0.0003626063	[sartwell, gibbons, marsten, strike, union, braunt, men, maraton, manager, committee]							na	
425	0.0002162551	[slade, beecher, mckenna, kildair, gunther, trendon, majendie, barnett, appleyard, ring]							na	
370	0.0002042455	[snake, snakes, tharban, reptile, venom, ye, serpent, demetrios, cobra, basto]							na	
160	0.0001572839	[pope, magnet, trafford, daffy, plessington, aunt plessington, wintersloan, rom, poole, buryhamstreet]							na	
296	0.0001572839	[holdfast, sudlow, winslade, thérèse, hosmer, tuyn, cronin, braybrooke, vicar, mother]							na	
546	0.0001463512	[murphy, swamp, qualley, roberts, bateau, logs, raft, murphy exclaimed, darky, turpentine]							na	
148	0.000122332	[calvert, azay, st aulaire, aulaire, madame de, lafayette, monsieur, de st, monsieur de, beaufort]							na	
644	0.0001168656	[mexican, josé, gonzalez, mustang, sambo, carib, senor, red head, spitler, ditini]							na	
246	0.0001037791	[sleep, darkness, soames, haendl, bed, asleep, sound, lay, light, muldoon]							na	
208	9.885116025266676e-05	[alwin, olaf, sigurd, egil, jarl, thrall, kark, valbrand, wrestler, songsmith]							na	
151	9.885116025266676e-05	[greenfield, worth, basin, holmes, company, engineer, kingston, surveyor, desert, seer]							na	
622	8.737996640302049e-05	[deer, wolves, doe, dogs, ailie, beasts, wolf, beaters, buffalo, herd]							na	
36	8.46879413416734e-05	[haddon, sir, rutland, haddon hall, girl, crawford, peyton, leicester, aunt, father]							na	
494	7.537036754110482e-05	[god, death, immortality, soul, oomphel, spirit, life, world, sorrow, heart]							na	
361	6.389917369145853e-05	[godolphin, sir, rosamund, brother, tressilian, master, penarrow, baine, killigrew, master baine]							na	
106	4.588477539858491e-05	[belshazzar, avil, babylon, atossa, marduk, bel, persian, imbi, jehovah, nabu]							na	
538	3.4413581548938736e-05	[cat, cats, mino, birkin, lifeship, kincher, hermione, florimel, woman, _douce]							na	
375	1.6937588268334616e-05	[felsen, herr, ziegler, borsen, bastable, schlegel, strauss, herr bastable, hagar, dormund]							na	
398	5.4663944186883885e-06	[khan, kasam, dirrag, mekran, burah, agahr, vizier, burah khan, maie, persian]							na	
6	-6.46086014723362e-06	[pan, zagloba, kmita, volodyovski, hetman, swedes, hmelnitski, commonwealth, skshetuski, basia]							na	
385	-4.149519100443548e-05	[rawlins, pauling, submarine, henderson, boys, sub, radio, smernoff, diver, declared rawlins]							na	
469	-4.149519100443548e-05	[cotherstone, mallalieu, brereton, kitely, harborough, stoner, highmarket, pett, bent, norcaster]							na	
619	-4.7499990435393314e-05	[mcnamara, whitefield, glenister, fownes, wheaton, sheriff, jenney, stillman, governor, churchill]							na	
590	-5.89711842850396e-05	[dainty, lovelace, mammy, nieces, bride, wedding, craye, heart, lover, bernardini]							na	
579	-6.497598371599743e-05	[saxe, music, abernethey, masters, osmund, miser, manuscript, thatcher, piano, measure]							na	
304	-6.497598371599743e-05	[hawk, macvightie, butcher, lanson, wire devils, ladybird, car, selkirk, conmore, express car]							na	
640	-8.24519769966015e-05	[winn, hutton, rockhaven, violin, ye, alhambra, island, norbith, winn hardy, stage]							na	
511	-8.24519769966015e-05	[gifford, henshaw, kelson, morriston, wynford, tredworth, gervase henshaw, wynford place, dipper, morristons]							na	
313	-8.84567764275594e-05	[collingwood, pratt, mallathorpe, eldrick, nesta, barford, byner, parrawhite, normandale, bartle]							na	
637	-9.446157585851725e-05	[larauche, ut, ee away, strangways, ee, macartney, sez, mcginity, ant ee, away away]							na	
418	-0.0001059328	[poubalov, litizki, strobel, hilman, spy, tailor, billings, palovna, vargovitch, pembroke]							na	
448	-0.0001059328	[crow wing, halpen, crow, bolderwood, wing, harding, siah, yorkers, indian, lake]							na	
248	-0.0001059328	[durgan, claxton, beardsley, dolphus, hilyard, hermie, mulatto, durgan felt, hermione, deer]							na	
297	-0.0001059328	[de medici, medici, ballau, dr lytton, lytton, norton, de, julien, theater, dr]							na	
420	-0.0001179424	[nakier, lugger, barque, tregarthen, hatch, ye, nielsen, nothen, boatmen, ship]							na	
464	-0.0001234088	[brilliana, halfman, evander, blaise, sir blaise, harby, master hungerford, hungerford, master, puritan]							na	
203	-0.000125024	[artist, harringay, painting, paint, pictures, picture, work, studio, sybert, artists]							na	
646	-0.0001294136	[burns, ellison, witham, colonel witham, mill, colonel, granny thornton, triffitt, thornton, stream]							na	
585	-0.0001294136	[leighton, brux, cellette, lne, derl, lew, gosling, nelton, tuck, boy leighton]							na	
649	-0.0001354184	[anny, gilbot, snedden, tant sannie, sannie, tant, old woman, nanna, goody, euonymus]							na	
635	-0.0001468896	[manton, kennedy, phelps, mackay, manton pictures, film, studio, kauf, tarrytown, pictures]							na	
639	-0.0001468896	[maguire, stirling, catlin, costell, convention, delegates, chairman, vote, blunkers, caggs]							na	
522	-0.000147428	[washington, vote, pauncefote, sir otho, otho, wandel, government, cent, verner, lord]							na	
89	-0.0001495816	[fish, trout, fishing, water, hook, ellison, stream, pool, fisherman, bait]							na	
441	-0.0001528944	[stonor, imbrie, etzooah, breed woman, dug, river, gun, myengeen, rapids, breed]							na	
491	-0.0001528944	[ducie, platzoff, captain ducie, cleon, repos, bon repos, bon, captain, mulatto, loal]							na	
520	-0.0001528944	[jimsy, honor, skipper, stepper, lorimer, yaqui, beat high, meter, team, stepfather]							na	
601	-0.0001528944	[walthew, gomez, grahame, cliffe, sarmiento, rio frio, frio, castillo, señor, president]							na	
95	-0.0001534328	[verbeck, muggs, black, chief, landers, kowen, sheriff, headquarters, roadster, crook]							na	
542	-0.0001588992	[sidenote, heyton, north, letter, crutches, simcox, daddy, died loving, mother, dead]							na	
589	-0.0001703703	[tallente, dartrey, miller, horlock, palliser, greening, hellesfield, party, article, prime]							na	
263	-0.0001709088	[cynthy, humphreys, maurus, naniescu, cluj, hódmezö, mother, wehle, dutchman, ujlak]							na	
509	-0.0001763751	[tregenna, langney, parson, parson langney, smugglers, tis, brigadier, nay, parsonage, sir]							na	
381	-0.0001763751	[bobo, cleaver, evers, poor bobo, madagascar, robinson, culbreth, delamare, stetson, gyde]							na	
377	-0.0001763751	[murgatroyd, challoner, thorne, prosecutor, pemmican, mixley, hargraves, mcgrath, cradlebaugh, bloodgood]							na	
617	-0.0001938511	[amory, connage, mellicent, yellowsands, vewy, starbright, gillespie, kiss, saville, dawson ryder]							na	
606	-0.0001938511	[rebb, haskins, crosbie, geary, pixy house, pixy, berch, bellaria, durham, pelham odin]							na	
616	-0.0001938511	[kenelm, hermione, eyrle, lorriston, severn, aldenmere, kenelm eyrle, lord lorriston, leeholme, sir]							na	
584	-0.0001938511	[trafford, matthewson, mcmanus, solomonson, dowd, millbank, wing, papers, rubber, murder]							na	
343	-0.0001998559	[stangerson, rouletabille, darzac, larsan, mademoiselle stangerson, monsieur darzac, monsieur, monsieur stangerson, mademoiselle, yellow room]							na	
217	-0.0001998559	[kut, alchise, desert, indian, cartwell, trail, cesca, squaw, squaws, apache]							na	
489	-0.0002058607	[tristram, boucicault, wickie, captain salt, fido, gaya, tris, toutou, salt, _l heureuse_]							na	
591	-0.0002113271	[torry, grent, vass, leighbourne, hargone, wray house, detective, notes, mortality, killed grent]							na	
594	-0.0002173319	[bowen, tanagra, galvin, galvin house, peel, triggs, bonsor, wangle, lord bowen, meyfield]							na	
401	-0.0002173319	[cayley, gillingham, pond, passage, ablett, key, key outside, door, cayley cayley, inspector]							na	
521	-0.0002233367	[storm, horton, holworthy, greenlea, burrell, bag, storm laughed, homachi, mallett, trip]							na	
289	-0.0002233367	[lish, jip, amateur, jip collins, fernald, department, fireman, fellers, master roberts, collins]							na	
378	-0.0002233367	[duvall, baker, ford, apartment, stapleton, hotel, woman, photograph, fire escape, detective]							na	
264	-0.0002293415	[siegmund, sea, thordis, sigurd, siegmund looked, rosamund, siegmund felt, felt, ragnild, siegmund sat]							na	
379	-0.0002298799	[pigeon, bird, 8vo, pigeons, birds, pigeon pie, crown 8vo, demy 8vo, demy, nant]							na	
603	-0.0002348079	[broadbrim, old broadbrim, riggs, demona, stareyes, ranch, macray, perth, detective, waters]							na	
155	-0.0002353463	[buell hampton, buell, hampton, warfield, holden, rankin, bragdon, shields, encampment, jones]							na	
187	-0.0002353463	[penniman, townsend, sloper, almond, aunt, dr sloper, father, doctor, niece, washington square]							na	
501	-0.0002408127	[varrick, gerelda, bain, northrup, frazier, captain frazier, gerelda northrup, varrick mansion, nurse, girl]							na	
424	-0.0002408127	[deerfoot, shawanoe, shawanoes, carleton, ish, warrior, dinks, canoe, miami, mississippi]							na	
419	-0.0002408127	[fischer, lutchester, teyl, nikasti, schwerin, hastings, japan, germany, pocketbook, anglo french]							na	
641	-0.0002408127	[dimsdale, ball, siebold, team, cadets, woodcrest, gates, school, vench, goodhue]							na	
535	-0.0002408127	[hastings, sloane, webster, brace, crown, sloanehurst, sheriff, judge, berne, berne webster]							na	
539	-0.0002408127	[alcibiades, justinian, melnos, demarch, melnosians, caliphronas, crispin, tunnel, palisade, gurt]							na	
487	-0.0002468175	[okoya, mitsha, hayoue, tyope, shyuote, koshare, zashue, koitza, shotaye, shiuana]							na	
406	-0.0002468175	[ide, withee, pulaski, castonia, macleod, woods, rodburd, rodburd ide, timber, umcolcus]							na	
439	-0.0002473559	[money, ayoub, monson, kirkstone, cater, lewisham, tsamanni, woodhouse, thrift, debt]							na	
210	-0.0002528223	[apache, chiricahuas, geronimo, micky, apaches, chiricahua, scouts, che, general crook, general]							na	
628	-0.0002582887	[pinkerton, proctor, donahue, robbery, susquehanna, reno, northampton, dunlap, gang, evans]							na	
567	-0.0002582887	[torn, montfort, de montfort, outlaw, shandy, bertrade, bertrade de montfort, bertrade de, castle, de]							na	
500	-0.0002582887	[cecala, morello, lupo, cina, giglio, calichio, boscarini, ortonello, counterfeit, comito]							na	
580	-0.0002582887	[roderic, beven, porto, san, spanish, yankee, captain beven, porfidio, plaza, spanish soldiers]							na	
618	-0.0002582887	[old detective, lung, chinese, garshaski, leggett, chinamen, ah lung, detective, old, bradys]							na	
234	-0.0002588271	[_cumbria_, texas, funnel paint, worth, launch, funnel, winch, canarios, oil, deck]							na	
468	-0.0002642935	[finnerty, sahib, swinton, moti, tiger, banjara, mahadua, elephant, jungle, bahadar]							na	
551	-0.0002642935	[hatherly, gascoyne, _estremedura_, macallister, las palmas, palmas, africa, las, brown, trifle]							na	
449	-0.0002642935	[deede, deede dawson, dawson, dunn, dunsmore, clive, bittermeads, packing case, wreste, packing]							na	
626	-0.0002642935	[eminence, wessex, everingham, cardinal, majesty, lord everingham, tudor, lord, glynde, duke wessex]							na	
467	-0.0002642935	[mar, woodward, naturalist, mar men, dodge, lieutenant woodward, submarine, shore, car, boat]							na	
541	-0.0002702983	[zulu, amabuna, dingane, tambusa, zulus, nkunkundhlovu, kraal, _nkose_, warriors, mameena]							na	
488	-0.0002702983	[quest, professor, macdougal, french, quest declared, rheinholdt, quest remarked, remarked, professor quest, inspector]							na	
173	-0.0002702983	[ogareff, irkutsk, strogoff, tomsk, tartars, grand duke, siberian, tartar, marfa, czar]							na	
615	-0.0002817695	[gresham, gamble, loring, collaton, washer, ersten, dollars, slosher, wobbles, terminal]							na	
569	-0.0002817695	[rainey, lund, carlsen, tamada, simms, hansen, skipper, _karluk_, hunters, yore]							na	
627	-0.0002817695	[braceway, bristow, withers, morley, fulton, greenleaf, furmville, abrahamson, washington, atlanta]							na	
402	-0.0002877743	[fentolin, hamel, dunster, meekins, sarson, doctor sarson, kinsley, nikasti, teyl, fentolin continued]							na	
447	-0.0002877743	[ramage, miniver, morningside park, capes, morningside, vee, aunt, manning, palsworthy, father]							na	
316	-0.0002937791	[bertrand, rixende, grandmama, deydier, ventadour, de ventadour, old madame, comtesse, tan, margaï]							na	
258	-0.0002937791	[glanedale, sir lyster, alf pond, lyster, doulton, inspector, tims, alf, burns, pond]							na	
215	-0.0002997839	[mccarty, orbit, goddard, hughes, inspector, parsons, fu moy, moy, mall, fu]							na	
340	-0.0002997839	[delaney, stockbridge, nichols, morphy, chief, operative, fosdick, gramercy hill, harrigan, gramercy]							na	
308	-0.0002997839	[brigham, brother brigham, zion, mormon, saints, salt lake, gentile, lord, prophet, salt lake city]							na	
144	-0.0002997839	[theria, nikander, dryas, eëtíon, baltè, delphi, apollo, pythia, melantho, oracle]							na	
650	-0.0003052503	[gardiner, wilde, doctor gardiner, rogers, basket maker, moore, doctor, old basket maker, old basket, girl]							na	
634	-0.0003052503	[ruff, dory, fitzgerald, ruff nodded, brown, clenarvon, sillerton, remarked, count hern, hern]							na	
605	-0.0003052503	[kildare, darrah, buchanan, sevier, rem, darrah brown, election, cake, possum, eyes]							na	
597	-0.0003052503	[latour, vaillant, bishop, father latour, father vaillant, fé, olivares, father, durango, priests]							na	
565	-0.0003052503	[celie, dauvray, mme dauvray, vauquier, mlle celie, mme, wethermill, mlle, hanaud, commissaire]							na	
643	-0.0003052503	[barclay, tilghman, ito, patterson, mclane, ogden, norcross, shively, japanese, atlanta]							na	
463	-0.0003052503	[dampier, senator, poulain, madame poulain, poulains, saint ange, hôtel saint, hôtel saint ange, ange, madame]							na	
609	-0.0003052503	[sihamba, swallow, sigwe, zinti, piet, swart piet, bull head, swart, kaffir, umpondwana]							na	
475	-0.0003052503	[langholm, minchin, steel, venables, severino, woodgate, crofts, morna, novelist, normanthorpe]							na	
119	-0.0003057887	[jinnie, lafe, grandoken, cobbler, morse, maudlin, fiddle, merriweather, happy, jinnie grandoken]							na	
570	-0.0003112551	[mummy, braddock, hervey, professor, bolton, random, vasa, peruvian, manuscript, emeralds]							na	
390	-0.0003112551	[ransford, mitchington, braden, brake, wrychester, collishaw, harker, glassdale, bewery, dr ransford]							na	
614	-0.0003172599	[spaniards, spain, spanish, french, juntas, talavera, troops, musa, soult, holland]							na	
255	-0.0003172599	[callias, athens, athenian, hippocles, xenophon, socrates, spartans, alcibiades, spartan, sparta]							na	
547	-0.0003232647	[rosevelt, satchell, mistress satchell, sherbrooke, gladstone, prelice, mistress, rover, beauty, brilliana]							na	
417	-0.0003287311	[garrick, warrington, mcbirney, car, winslow, garage, gambling, dr mead, forbes, gambling joint]							na	
471	-0.0003287311	[macartney, thompson, collins, charliet, caraquet, hutton, wilbraham, valenka, stope, dream girl]							na	
620	-0.0003287311	[de rothan, rothan, nance, durrell, benham, de, stook, stonehanger, chevalier, mees]							na	
525	-0.0003287311	[pratt, raston, haverleigh, tempest, kilspindie, hale, marton, lord kilspindie, jeal, cup]							na	
325	-0.0003287311	[florian, melior, hoprig, janicot, puysange, de puysange, mélusine, brunbelois, saint, monsieur]							na	
369	-0.0003347359	[thresk, ballantyne, hazlewood, pettifer, repton, bombay, captain ballantyne, baram, baram singh, beeding]							na	
630	-0.0003347359	[crippen, corson, binney, buns, prall, bates, vail, bun, sir binney, gibbs]							na	
566	-0.0003347359	[hartley, vyner, trimblett, captain, captain trimblett, willett, gustave, chinnery, walters, ste]							na	
380	-0.0003347359	[dodo, hughie, berts, mama, ayr, darling, waldenech, dear, double bass, chesterford]							na	
493	-0.0003347359	[greusel, kurzbold, ebearhard, frankfort, assmannshausen, goebel, rhine, thalers, herr, herr goebel]							na	
557	-0.0003347359	[antrim, langford, judge, hobart, forsyth, harding, seeley, lord carabbas, chief clerk, carabbas]							na	
329	-0.0003407407	[lingard, travers, alcacer, jorgenson, hassim, jaffir, belarab, immada, tengga, brig]							na	
322	-0.0003407407	[secret agent, fuller, okiu, dr morse, agent, warwick, morse, drevenoff, karkowsky, secret]							na	
311	-0.0003407407	[ricker, ranch, cowboys, macnutt, ricker ranch, halfbreed, tex, trader post, cowboy, ranch owner]							na	
344	-0.0003407407	[phyl, pinckney, pinnegar, hennessey, grangerson, vernons, ciccio, charleston, kilgobbin, woodhouse]							na	
482	-0.0003522119	[boller, wilkins, fry, hitchin, hobart hitchin, prentiss, hobart, vining, kid, trunk]							na	
636	-0.0003522119	[saton, rochester, naudheim, borrowdean, bertrand, beauleys, vandermere, saton smiled, champneyes, declared]							na	
563	-0.0003522119	[miralda, barosa, sampayo, donnington, vasco, volheno, _stella_, _rampallo_, dagara, dr barosa]							na	
536	-0.0003522119	[nattie, quimby, cyn, clem, kling, magee, stanwood, wire, simonson, archer]							na	
598	-0.0003522119	[warrender, marlow, lestrange, beauchamp, thorold, sophy, phelps, rector, cicero, quiet gentleman]							na	
